timestep,result
4956000,-135.99037525430322
4968000,-277.7680124565959
4980000,-100.91500587761402
4992000,-215.88977976888418
5004000,-133.9708432033658
5016000,-284.0000517219305
5028000,-429.9180039167404
5040000,-170.9743957221508
5052000,-366.8618349060416
5064000,-507.4184713959694
5076000,-46.36478451639414
5088000,-423.75129021704197
5100000,-60.49839176237583
5112000,-11.607720647007227
5124000,-76.04929296672344
5136000,-337.2461921647191
5148000,-137.20710300654173
5160000,-30.550282046198845
5172000,3.4027382358908653
5184000,-44.37646122276783
5196000,-223.86511760950089
5208000,-215.29169434309006
5220000,-134.55486729741096
5232000,-656.0175390839577
5244000,-125.8450915440917
5256000,-16.28140839189291
5268000,-164.38424130529165
5280000,-144.91693266108632
5292000,-294.4528691470623
5304000,-231.48258396983147
5316000,-232.6573607698083
5328000,-354.40986581146717
5340000,-256.484995149076
5352000,-59.45364274829626
5364000,-515.3876584172249
5376000,8.85987196303904
5388000,-68.32699964940548
5400000,-102.16280838102102
5412000,-32.18117867782712
5424000,-216.3892730921507
5436000,-466.20456260442734
5448000,-414.70992743968964
5460000,-270.55135238170624
5472000,-45.142869621515274
5484000,-145.57946079969406
5496000,-29.283552434295416
5508000,-190.41774880886078
5520000,-116.70080914348364
5532000,-155.50267998874187
5544000,-39.058160450309515
5556000,-80.93702775239944
5568000,-33.69260074198246
5580000,-455.43627329170704
5592000,-495.54953169822693
5604000,-78.8638920634985
5616000,-255.33182954788208
5628000,-508.8553599268198
5640000,-229.58198683708906
5652000,-342.0248439460993
5664000,-494.51294189691544
5676000,-131.5543688684702
5688000,-567.7502012252808
5700000,-247.85476660728455
5712000,-138.4573690444231
5724000,-604.9727202057838
5736000,-181.63668206334114
5748000,-224.64655177295208
5760000,-177.0824713036418
5772000,-15.380528625100851
5784000,-742.9740716218948
5796000,-444.20692536234856
5808000,-288.9299158155918
5820000,-290.27611842751503
5832000,-236.6860725954175
5844000,-85.49135812371969
5856000,-379.1306155323982
5868000,-90.39186822623014
5880000,-61.13962705433369
5892000,-80.85003309696913
5904000,-411.7543703764677
5916000,-139.77181589603424
5928000,-132.43796561658382
5940000,-260.58792252093554
5952000,-634.2363060116768
5964000,-9.581222899258137
5976000,-58.54305189102888
5988000,-212.13775555044413
6000000,-194.90033883601427
6012000,-512.8393505513668
6024000,-466.0532093346119
6036000,-12.130945727229118
6048000,-214.48618890345097
6060000,-191.18322660773993
6072000,-155.8815985918045
6084000,-604.4168125391006
6096000,-246.55970510840416
6108000,-257.9702548235655
6120000,-121.95257797837257
6132000,-71.00944330915809
6144000,13.024040769785643
6156000,-247.22798478603363
6168000,-391.095442712307
6180000,-9.227181263267994
6192000,-423.9266924858093
6204000,-460.55230072140694
6216000,-294.6271768286824
6228000,-318.5766312032938
6240000,-221.00936045497656
6252000,-464.1590711772442
6264000,-27.69349278509617
6276000,-142.09270194917917
6288000,-309.7631182819605
6300000,-203.3983735665679
6312000,-349.2931033670902
6324000,-84.11911613121629
6336000,-671.8742133378983
6348000,-188.3660114184022
6360000,-59.64203163981438
6372000,-212.59972166270018
6384000,-276.124766908586
6396000,-4.084107540547848
6408000,-104.39159890264273
6420000,-16.281699303537607
6432000,-58.66376208513975
6444000,-194.67967231571674
6456000,-184.253314640373
6468000,-276.58111414313316
6480000,-79.26838295161724
6492000,-249.33601413667202
6504000,-22.6797002106905
6516000,-372.38804814592004
6528000,-72.13827700167894
6540000,-287.25738486647606
6552000,-69.83612137287855
6564000,10.992059100419283
6576000,-6.845014035701752
6588000,-260.1966813504696
6600000,-12.864342719316483
6612000,-210.75077226758003
6624000,-33.65035626292229
6636000,-57.72699774801731
6648000,-128.78630397468805
6660000,-613.8303722143173
6672000,-177.4852528423071
6684000,-12.603964164853096
6696000,-218.78960129618645
6708000,-173.66474076360464
6720000,-9.95344989746809
6732000,-421.2285674214363
6744000,-63.31124299764633
6756000,-149.78944563120604
6768000,-77.17030964046717
6780000,-736.4178409576416
6792000,-110.40810196101665
6804000,-95.51469195634127
6816000,-131.26525968313217
6828000,-97.18793984502554
6840000,-405.28978154063225
6852000,9.716761995106936
6864000,-42.04783930629492
6876000,-131.01089346036315
6888000,-25.04070531576872
6900000,-124.00879856944084
6912000,-733.1033303141594
6924000,-107.37443001195788
6936000,-504.3443234860897
6948000,-60.430955681949854
6960000,-217.08588470891118
6972000,-192.15798306837678
6984000,-96.23659121990204
6996000,-159.80475868284702
7008000,-91.89988195896149
7020000,-155.195278596133
7032000,-86.38782546669245
7044000,-63.78159634768963
7056000,-5.292661253362894
7068000,-108.6510830745101
7080000,-51.13961412757635
7092000,-230.30802716314793
7104000,-95.50513377040625
7116000,-212.19740157201886
7128000,-85.87159480154514
7140000,0.6931988708674908
7152000,-474.35491198301315
7164000,-387.43247297406197
7176000,-30.89783389866352
7188000,-39.41259206831455
7200000,-38.24162757024169
7212000,-50.43025290966034
7224000,-414.81167981028557
7236000,-45.5352763608098
7248000,-84.09392662346363
7260000,-235.2515321597457
7272000,-19.16500674188137
7284000,-328.9377877339721
7296000,-623.3605616092682
7308000,-63.82965652644634
7320000,-276.55703224241734
7332000,-276.1149299144745
7344000,-332.54818891733885
7356000,-253.08113719522953
7368000,-147.26835348457098
7380000,-384.9319934248924
7392000,-426.7923023328185
7404000,-0.4671367444097996
7416000,-33.91980142146349
7428000,-48.36783416569233
7440000,-67.68027536571026
7452000,-246.90131099522114
7464000,-236.75864499807358
7476000,-140.12619534879923
7488000,-32.83802431076765
7500000,-53.35853611677885
7512000,-8.863399930298328
7524000,-162.6566287651658
7536000,-183.21076807379723
7548000,-341.1862059533596
7560000,-221.66621144860983
7572000,-31.07667012885213
7584000,-164.9100137874484
7596000,-202.6578329205513
7608000,-69.95229119807482
7620000,1.477464845404029
7632000,-168.8815152645111
7644000,-51.631878562271595
7656000,-247.03087470680475
7668000,-223.00086096674204
7680000,-133.44353404641151
7692000,-215.25311101973057
7704000,-88.96145737171173
7716000,-30.46710341796279
7728000,-442.4438165426254
7740000,-465.8041862845421
7752000,-38.43213318660855
7764000,2.2402122020721436
7776000,-193.99982070922852
7788000,-41.68017692863941
7800000,-375.81684850901365
7812000,-692.5904060602188
7824000,-3.5290204025804996
7836000,-605.9023469090462
7848000,-14.156429216265678
7860000,-304.77616192400455
7872000,-15.548903966322541
7884000,9.026678048074245
7896000,-232.75217789411545
7908000,-72.17558781802654
7920000,7.543094899505377
7932000,-12.790154002606869
7944000,-50.388370629400015
7956000,-210.31229631602764
7968000,-183.8250460550189
7980000,-92.35623914003372
7992000,-121.41429409384727
8004000,-269.95188265293837
8016000,-369.1978128403425
8028000,-244.3851773813367
8040000,-499.30126228928566
8052000,-464.8312094807625
8064000,-228.29621151834726
8076000,-161.1789943948388
8088000,-175.21662973612547
8100000,-73.08076651394367
8112000,-123.39467050135136
8124000,10.399029701948166
8136000,-31.419906616210938
8148000,-169.26038862019777
8160000,-39.71776536852121
8172000,-1.3390888534486294
8184000,-490.8253318667412
8196000,-90.65003034472466
8208000,-480.67804700136185
8220000,-30.034383345395327
8232000,-335.3667553141713
8244000,-183.64420156925917
8256000,-23.928777061402798
8268000,-432.62823909521103
8280000,-424.9161297827959
8292000,-268.5583893954754
8304000,-54.03851120173931
8316000,-206.3889112919569
8328000,-171.66519641131163
8340000,-394.69223949313164
8352000,-562.5155195593834
8364000,1.6782141998410225
8376000,-197.91852804273367
8388000,-19.4385628066957
8400000,-96.85122213512659
8412000,-235.07232876867056
8424000,-126.0390920266509
8436000,-599.4156067967415
8448000,-47.68941376358271
8460000,-38.3718284368515
8472000,-570.0292771160603
8484000,-443.00364668667316
8496000,-125.42904312163591
8508000,-26.034499514847994
8520000,12.91404090076685
8532000,-53.21037381142378
8544000,-97.13921782374382
8556000,-150.7933877259493
8568000,-536.138963341713
8580000,-131.76536874473095
8592000,-150.82081801444292
8604000,-278.8555864356458
8616000,-10.622291304171085
8628000,-211.520726300776
8640000,-35.09595526754856
8652000,-157.42453920841217
8664000,-236.15638630092144
8676000,-274.9923765361309
8688000,-6.8175009079277515
8700000,-88.03710463643074
8712000,-289.06488678604364
8724000,-190.22668899595737
8736000,-265.2235783338547
8748000,-77.0114825218916
8760000,-47.31793390214443
8772000,-105.04029292613268
8784000,-64.85864191502333
8796000,-56.26947591453791
8808000,-61.367044523358345
8820000,-53.020734928548336
8832000,-320.950669541955
8844000,-139.07361518591642
8856000,-185.7493724822998
8868000,-5.138799052685499
8880000,-240.88877895474434
8892000,-210.96575570106506
8904000,0.47624485194683075
8916000,-106.89849496632814
8928000,-476.0113867819309
8940000,-222.66388499736786
8952000,-534.3274673223495
8964000,-178.33263912796974
